ID,ParentID,Ubicacion,OlaID
1358,100,PLAYAS,84
1359,100,PORTOVIEJO,84
1360,100,PUYO,84
1361,100,QUEVEDO,84
1362,100,QN DISTRITO 1,84
1363,100,QN DISTRITO 2,84
1364,100,RIOBAMBA,84
1366,100,TENA,84
1367,100,TULCAN,84
1475,100,QS DISTRITO 3,84
1476,100,QS DISTRITO 4,84
1477,100,QUITO VALLE,84
1478,1144,VILLA NUEVA,84
1479,1142,COSTA CENTRO,84
1480,1142,CHARLES DE GAULLE,84
1481,1142,DISTRIBUIDORES-AZUA,84
1482,1142,DISTRIBUIDORES-BANI,84
1483,1142,DISTRIBUIDORES-BARAHONA,84
1484,1142,DISTRIBUIDORES-OCOA,84
1485,1142,DISTRIBUIDORES-SAN JUAN,84
1486,1142,HIGUEY,84
1488,100,GUAYAQUIL CENTRO,84
1489,100,QUITO NORTE,84
1490,100,AMAGUAÑA,84
1491,100,QUITO SUR,84
1513,100,GUAYAQUIL FORANEAS,84
1516,100,Manta,84
1517,1142,DISTRIBUIDORES-SAN JOSE DE OCOA,84
1518,1143,CAMOJA,84
1519,1143,QUETZALTENANGO,84
1520,1144,BARBERENA,84
1532,298,CARIBE,84
1533,298,NORTE CIUDAD,84
1534,298,NORTE INTERIOR,84
1535,298,SUR CIUDAD,84
1536,298,SUR INTERIOR,84
1537,100,SANTO DOMINGO,84
1538,1144,AGUILAR BATRES,84
1539,100,SUR,84
1540,100,NORTE,84
1541,298,SUR I,84
1542,298,NORTE I,84
1543,298,11-DISTRIBUIDORES,84
1544,1142,CIBAO C. Y NORTE,84
1545,1142,OCCIDENTAL - SC Y SUR,84
1546,1142,SD ORIENTAL Y ESTE,84
1547,1099,CENTRAL ATLÁNTICO,84
1548,1099,NOR-OCCIDENTE,84
1549,1099,PACÍFICO NORTE,84
1550,1097,QUEPOS,84
