,Unnamed: 0,Unnamed: 0.1,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name
14,14,15,3893486-(2019 WN2),False,8.4053340207,18.7948982439,1995-01-06 00:00:00.000000,1970-01-01 00:13:09.352860,Earth,7.0205499158,25273.9796969348,Near Earth asteroid orbits similar to that of 2062 Aten,3893486,(2019 WN2)
15,15,16,3766463-(2017 AY13),True,133.2155666981,297.8790627982,1995-01-03 00:00:00.000000,1970-01-01 00:13:09.096660,Earth,14.2350916869,51246.3300727039,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3766463,(2017 AY13)
16,16,17,3342323-(2006 SF6),True,278.3267680719,622.3575733667,1995-01-03 00:00:00.000000,1970-01-01 00:13:09.120000,Earth,5.2486366908,18895.0920867914,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3342323,(2006 SF6)
17,17,19,2452807-452807 (2006 KV89),True,146.0679642714,326.6178974458,1995-01-03 00:00:00.000000,1970-01-01 00:13:09.103980,Earth,5.2019174692,18726.9028892138,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2452807,452807 (2006 KV89)
18,18,20,2481394-481394 (2006 SF6),True,278.3267680719,622.3575733667,1995-01-03 00:00:00.000000,1970-01-01 00:13:09.157020,Earth,5.2487147466,18895.3730879092,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2481394,481394 (2006 SF6)
19,19,21,2308041-308041 (2004 TN),False,441.1181999969,986.3702813054,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.244380,Earth,15.4530476495,55630.9715383354,Near Earth asteroid orbits similar to that of 2062 Aten,2308041,308041 (2004 TN)
20,20,22,3359282-(2006 WN3),False,291.4439045349,651.6883821679,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.184320,Earth,14.2722708044,51380.1748958573,Near Earth asteroid orbits similar to that of 2062 Aten,3359282,(2006 WN3)
21,21,23,3485631-(2010 AF40),False,26.58,59.4346868419,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.194220,Earth,25.3475444872,91251.1601539319,Near Earth asteroid orbits similar to that of 2062 Aten,3485631,(2010 AF40)
22,22,24,3825569-(2018 NF1),False,31.9561886721,71.4562101727,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.234240,Earth,9.81018732,35316.6743519151,Near Earth asteroid orbits similar to that of 2062 Aten,3825569,(2018 NF1)
23,23,26,2138947-138947 (2001 BA40),False,506.4714588346,1132.5046106177,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.221760,Earth,10.1550915818,36558.3296945282,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2138947,138947 (2001 BA40)
24,24,27,3716433-(2015 HA1),False,152.9519353442,342.0109247198,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.225180,Earth,17.398716775,62635.3803901775,Near Earth asteroid orbits similar to that of 2062 Aten,3716433,(2015 HA1)
25,25,28,3766036-(2016 XR23),False,22.1082810359,49.435619262,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.246000,Earth,19.5043542583,70215.675330042,Near Earth asteroid orbits similar to that of 2062 Aten,3766036,(2016 XR23)
26,26,29,3843734-(2019 RA),False,21.113244479,47.2106498806,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.178620,Earth,5.4829884789,19738.7585239395,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3843734,(2019 RA)
27,27,31,3792437-(2017 XR61),False,63.7609789875,142.5738833281,1995-01-01 00:00:00.000000,1970-01-01 00:13:08.968980,Earth,16.5213860889,59476.989919936,An asteroid orbit contained entirely within the orbit of the Eart,3792437,(2017 XR61)
28,28,32,3723955-(2015 NK3),False,146.0679642714,326.6178974458,1995-01-01 00:00:00.000000,1970-01-01 00:13:08.930700,Earth,18.1139850263,65210.3460948409,An asteroid orbit contained entirely within the orbit of the Eart,3723955,(2015 NK3)
29,29,33,3553279-(2010 XB24),True,116.0259082094,259.4418179074,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.059520,Earth,14.9782587738,53921.7315857621,Near Earth asteroid orbits similar to that of 1221 Amor,3553279,(2010 XB24)
30,30,34,3825428-(2018 MA5),False,14.6067964271,32.6617897446,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.017280,Earth,6.4021620104,23047.7832375179,Near Earth asteroid orbits similar to that of 1221 Amor,3825428,(2018 MA5)
31,31,35,3639467-(2013 LC1),False,44.1118199997,98.6370281305,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.075420,Earth,11.5802363188,41688.8507475223,An asteroid orbit contained entirely within the orbit of the Eart,3639467,(2013 LC1)
32,32,36,3703059-(2014 YE15),False,5.8150703965,13.0028927004,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.051600,Earth,15.1128684067,54406.326264187,Near Earth asteroid orbits similar to that of 2062 Aten,3703059,(2014 YE15)
33,33,37,3943319-(2019 YS),False,1.332155667,2.978790628,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.086460,Earth,2.9755350607,10711.9262185554,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3943319,(2019 YS)
34,34,38,54016806-(2020 HT7),False,11.2345317672,25.1211767268,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.018840,Earth,7.1500141326,25740.0508773213,Near Earth asteroid orbits similar to that of 1221 Amor,54016806,(2020 HT7)
35,35,39,3842683-(2019 LO),False,8.0270316728,17.948988478,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.627180,Earth,7.6152812259,27415.0124133414,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3842683,(2019 LO)
36,36,40,3366282-(2007 BD),False,22.1082810359,49.435619262,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.652920,Earth,23.3997220939,84238.9995379446,An asteroid orbit contained entirely within the orbit of the Eart,3366282,(2007 BD)
37,37,41,3544935-(2010 PW58),True,121.4940407996,271.6689340891,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.669240,Earth,11.1607357991,40178.6488767589,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3544935,(2010 PW58)
38,38,42,3797669-(2018 AW11),False,17.561231848,39.2681081809,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.667320,Earth,5.7808744202,20811.1479127669,An asteroid orbit contained entirely within the orbit of the Eart,3797669,(2018 AW11)
39,39,43,3735599-(2015 WA13),False,16.0160337979,35.8129403019,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.674400,Earth,8.1492924834,29337.4529404107,Near Earth asteroid orbits similar to that of 1221 Amor,3735599,(2015 WA13)
40,40,44,3102756-(2002 AO11),False,76.6575573531,171.4115092306,1995-01-14 00:00:00.000000,1970-01-01 00:13:10.066980,Earth,11.6500973732,41940.3505436064,Near Earth asteroid orbits similar to that of 1221 Amor,3102756,(2002 AO11)
41,41,45,2434632-434632 (2005 WE),False,291.4439045349,651.6883821679,1995-01-14 00:00:00.000000,1970-01-01 00:13:10.046160,Earth,10.1296631155,36466.7872158652,Near Earth asteroid orbits similar to that of 2062 Aten,2434632,434632 (2005 WE)
42,42,46,3457846-(2009 HG21),False,26.58,59.4346868419,1995-01-14 00:00:00.000000,1970-01-01 00:13:10.084260,Earth,13.7000461198,49320.1660312508,Near Earth asteroid orbits similar to that of 1221 Amor,3457846,(2009 HG21)
43,43,47,2495323-495323 (2014 JG78),False,319.5618867213,714.5621017269,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.212960,Earth,10.8088500572,38911.8602059758,An asteroid orbit contained entirely within the orbit of the Eart,2495323,495323 (2014 JG78)
44,44,48,2510055-510055 (2010 FH81),True,127.2198785394,284.4722965033,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.138380,Earth,9.8408312207,35426.9923944775,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2510055,510055 (2010 FH81)
45,45,49,3514799-(2010 FH81),True,127.2198785394,284.4722965033,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.156800,Earth,9.8408316738,35426.9940257225,An asteroid orbit contained entirely within the orbit of the Eart,3514799,(2010 FH81)
46,46,50,3671135-(2014 JG78),False,319.5618867213,714.5621017269,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.156800,Earth,10.8088439585,38911.83825064,Near Earth asteroid orbits similar to that of 2062 Aten,3671135,(2014 JG78)
47,47,51,3092506-(2001 WJ4),False,8.801465209,19.6806745089,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.160880,Earth,11.1738744976,40225.948191338,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3092506,(2001 WJ4)
48,48,52,3761747-(2016 UO41),False,35.0392641108,78.3501764334,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.154820,Earth,10.3790222165,37364.4799793748,Near Earth asteroid orbits similar to that of 2062 Aten,3761747,(2016 UO41)
49,49,53,3709080-(2015 BV510),False,211.1324447897,472.1064988055,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.182960,Earth,32.1281627776,115661.385999198,An asteroid orbit contained entirely within the orbit of the Eart,3709080,(2015 BV510)
50,50,54,3485806-(2010 AL60),False,88.0146520901,196.8067450894,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.894300,Earth,11.6706583618,42014.3701023385,An asteroid orbit contained entirely within the orbit of the Eart,3485806,(2010 AL60)
